scenario_id,observation_index,trace_id,app,content,real_rf_state_id,primary_rf_state_id,target_rsrp_dbm,target_rsrq_db,target_snr_db,primary_control_state_id,primary_ploss,primary_noise_power_dB,primary_supported,candidate_control_state_id,candidate_ploss,candidate_noise_power_dB,candidate_supported,both_supported,primary_only,candidate_only,union_supported
ucc-static-03c60d20f6ba6fb3,55,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,rsrp=-89|rsrq=-17|snr=-4,rsrp=-89|rsrq=-17,-89,-17,-4,ploss=0|noise_power_dB=-5,0,-5,False,ploss=0|noise_power_dB=-5,0,-5,False,False,False,False,False
ucc-static-03c60d20f6ba6fb3,56,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,rsrp=-89|rsrq=-17|snr=-4,rsrp=-89|rsrq=-17,-89,-17,-4,ploss=0|noise_power_dB=-5,0,-5,False,ploss=0|noise_power_dB=-5,0,-5,False,False,False,False,False
ucc-static-03c60d20f6ba6fb3,57,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,rsrp=-90|rsrq=-15|snr=7,rsrp=-90|rsrq=-15,-90,-15,7,ploss=0|noise_power_dB=-5,0,-5,False,ploss=0|noise_power_dB=-5,0,-5,False,False,False,False,False
ucc-static-03c60d20f6ba6fb3,58,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,rsrp=-90|rsrq=-15|snr=7,rsrp=-90|rsrq=-15,-90,-15,7,ploss=0|noise_power_dB=-5,0,-5,False,ploss=0|noise_power_dB=-5,0,-5,False,False,False,False,False
ucc-static-03c60d20f6ba6fb3,59,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,rsrp=-90|rsrq=-15|snr=7,rsrp=-90|rsrq=-15,-90,-15,7,ploss=0|noise_power_dB=-5,0,-5,False,ploss=0|noise_power_dB=-5,0,-5,False,False,False,False,False
ucc-static-03c60d20f6ba6fb3,60,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,rsrp=-90|rsrq=-15|snr=7,rsrp=-90|rsrq=-15,-90,-15,7,ploss=0|noise_power_dB=-5,0,-5,False,ploss=0|noise_power_dB=-5,0,-5,False,False,False,False,False
ucc-static-03c60d20f6ba6fb3,61,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,rsrp=-89|rsrq=-16|snr=6,rsrp=-89|rsrq=-16,-89,-16,6,ploss=0|noise_power_dB=-5,0,-5,False,ploss=0|noise_power_dB=-5,0,-5,False,False,False,False,False
ucc-static-03c60d20f6ba6fb3,62,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,rsrp=-89|rsrq=-16|snr=6,rsrp=-89|rsrq=-16,-89,-16,6,ploss=0|noise_power_dB=-5,0,-5,False,ploss=0|noise_power_dB=-5,0,-5,False,False,False,False,False
ucc-static-03c60d20f6ba6fb3,63,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,rsrp=-90|rsrq=-16|snr=6,rsrp=-90|rsrq=-16,-90,-16,6,ploss=0|noise_power_dB=-5,0,-5,False,ploss=0|noise_power_dB=-5,0,-5,False,False,False,False,False
ucc-static-03c60d20f6ba6fb3,64,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,rsrp=-90|rsrq=-16|snr=6,rsrp=-90|rsrq=-16,-90,-16,6,ploss=0|noise_power_dB=-5,0,-5,False,ploss=0|noise_power_dB=-5,0,-5,False,False,False,False,False
ucc-static-03c60d20f6ba6fb3,65,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,rsrp=-89|rsrq=-16|snr=7,rsrp=-89|rsrq=-16,-89,-16,7,ploss=0|noise_power_dB=-5,0,-5,False,ploss=0|noise_power_dB=-5,0,-5,False,False,False,False,False
ucc-static-03c60d20f6ba6fb3,66,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,rsrp=-89|rsrq=-16|snr=7,rsrp=-89|rsrq=-16,-89,-16,7,ploss=0|noise_power_dB=-5,0,-5,False,ploss=0|noise_power_dB=-5,0,-5,False,False,False,False,False
ucc-static-03c60d20f6ba6fb3,67,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,rsrp=-89|rsrq=-11|snr=1,rsrp=-89|rsrq=-11,-89,-11,1,ploss=0|noise_power_dB=-5,0,-5,False,ploss=0|noise_power_dB=-5,0,-5,False,False,False,False,False
ucc-static-03c60d20f6ba6fb3,68,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,rsrp=-89|rsrq=-11|snr=1,rsrp=-89|rsrq=-11,-89,-11,1,ploss=0|noise_power_dB=-5,0,-5,False,ploss=0|noise_power_dB=-5,0,-5,False,False,False,False,False
ucc-static-03c60d20f6ba6fb3,69,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,rsrp=-88|rsrq=-12|snr=1,rsrp=-88|rsrq=-12,-88,-12,1,ploss=0|noise_power_dB=-5,0,-5,False,ploss=0|noise_power_dB=-5,0,-5,False,False,False,False,False
ucc-static-03c60d20f6ba6fb3,70,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,rsrp=-88|rsrq=-12|snr=1,rsrp=-88|rsrq=-12,-88,-12,1,ploss=0|noise_power_dB=-5,0,-5,False,ploss=0|noise_power_dB=-5,0,-5,False,False,False,False,False
ucc-static-03c60d20f6ba6fb3,71,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,rsrp=-88|rsrq=-11|snr=4,rsrp=-88|rsrq=-11,-88,-11,4,ploss=0|noise_power_dB=-5,0,-5,False,ploss=0|noise_power_dB=-5,0,-5,False,False,False,False,False
