real_rf_state_id,dwell_runs,total_seconds,duration_seconds_mean,duration_seconds_p50,duration_seconds_p90,duration_seconds_max
rsrp=-89|rsrq=-12|snr=6,2,4,2,2,2,2
rsrp=-89|rsrq=-13|snr=-4,2,4,2,2,2,2
rsrp=-89|rsrq=-14|snr=2,2,4,2,2,2,2
rsrp=-89|rsrq=-14|snr=3,3,4,1.33333333333,1,1.8,2
rsrp=-89|rsrq=-15|snr=-2,2,4,2,2,2,2
rsrp=-89|rsrq=-15|snr=3,2,4,2,2,2,2
rsrp=-89|rsrq=-16|snr=-7,2,4,2,2,2,2
rsrp=-89|rsrq=-16|snr=2,2,4,2,2,2,2
rsrp=-89|rsrq=-16|snr=4,2,4,2,2,2,2
rsrp=-90|rsrq=-12|snr=4,2,4,2,2,2,2
rsrp=-90|rsrq=-13|snr=-1,3,4,1.33333333333,1,1.8,2
rsrp=-90|rsrq=-13|snr=-2,2,4,2,2,2,2
rsrp=-90|rsrq=-13|snr=-4,2,4,2,2,2,2
rsrp=-90|rsrq=-15|snr=7,1,4,4,4,4,4
rsrp=-90|rsrq=-16|snr=2,2,4,2,2,2,2
rsrp=-91|rsrq=-13|snr=-1,2,4,2,2,2,2
rsrp=-91|rsrq=-14|snr=-5,2,4,2,2,2,2
rsrp=-91|rsrq=-16|snr=-12,2,4,2,2,2,2
rsrp=-92|rsrq=-12|snr=1,2,4,2,2,2,2
rsrp=-92|rsrq=-12|snr=3,2,4,2,2,2,2
rsrp=-92|rsrq=-13|snr=0,2,4,2,2,2,2
rsrp=-92|rsrq=-14|snr=-1,2,4,2,2,2,2
rsrp=-92|rsrq=-15|snr=-4,2,4,2,2,2,2
rsrp=-93|rsrq=-12|snr=1,3,4,1.33333333333,1,1.8,2
rsrp=-93|rsrq=-13|snr=-3,2,4,2,2,2,2
rsrp=-93|rsrq=-13|snr=-9,2,4,2,2,2,2
rsrp=-93|rsrq=-13|snr=2,2,4,2,2,2,2
rsrp=-93|rsrq=-13|snr=3,1,4,4,4,4,4
rsrp=-93|rsrq=-14|snr=-1,2,4,2,2,2,2
rsrp=-93|rsrq=-14|snr=-9,2,4,2,2,2,2
rsrp=-94|rsrq=-13|snr=-3,2,4,2,2,2,2
rsrp=-95|rsrq=-11|snr=1,2,4,2,2,2,2
rsrp=-95|rsrq=-13|snr=3,2,4,2,2,2,2
rsrp=-95|rsrq=-15|snr=6,1,4,4,4,4,4
rsrp=-95|rsrq=-16|snr=-3,2,4,2,2,2,2
rsrp=-95|rsrq=-16|snr=5,2,4,2,2,2,2
rsrp=-96|rsrq=-10|snr=6,2,4,2,2,2,2
rsrp=-96|rsrq=-13|snr=4,2,4,2,2,2,2
rsrp=-96|rsrq=-13|snr=6,1,4,4,4,4,4
rsrp=-96|rsrq=-14|snr=0,2,4,2,2,2,2
rsrp=-96|rsrq=-15|snr=1,3,4,1.33333333333,1,1.8,2
rsrp=-96|rsrq=-15|snr=6,2,4,2,2,2,2
rsrp=-96|rsrq=-16|snr=0,2,4,2,2,2,2
rsrp=-96|rsrq=-16|snr=7,3,4,1.33333333333,1,1.8,2
rsrp=-96|rsrq=-16|snr=8,2,4,2,2,2,2
rsrp=-96|rsrq=-17|snr=4,2,4,2,2,2,2
rsrp=-96|rsrq=-17|snr=5,1,4,4,4,4,4
rsrp=-96|rsrq=-17|snr=6,2,4,2,2,2,2
rsrp=-97|rsrq=-11|snr=6,3,4,1.33333333333,1,1.8,2
rsrp=-97|rsrq=-12|snr=1,3,4,1.33333333333,1,1.8,2
rsrp=-97|rsrq=-13|snr=5,2,4,2,2,2,2
rsrp=-97|rsrq=-14|snr=1,2,4,2,2,2,2
rsrp=-97|rsrq=-14|snr=8,2,4,2,2,2,2
rsrp=-97|rsrq=-15|snr=-1,3,4,1.33333333333,1,1.8,2
rsrp=-97|rsrq=-15|snr=-3,2,4,2,2,2,2
rsrp=-97|rsrq=-15|snr=0,2,4,2,2,2,2
rsrp=-97|rsrq=-15|snr=1,2,4,2,2,2,2
rsrp=-97|rsrq=-15|snr=4,2,4,2,2,2,2
rsrp=-97|rsrq=-15|snr=6,2,4,2,2,2,2
rsrp=-97|rsrq=-15|snr=7,3,4,1.33333333333,1,1.8,2
rsrp=-97|rsrq=-17|snr=3,2,4,2,2,2,2
rsrp=-98|rsrq=-10|snr=1,1,4,4,4,4,4
rsrp=-98|rsrq=-10|snr=2,2,4,2,2,2,2
rsrp=-98|rsrq=-10|snr=4,2,4,2,2,2,2
rsrp=-98|rsrq=-11|snr=0,2,4,2,2,2,2
rsrp=-98|rsrq=-13|snr=1,2,4,2,2,2,2
rsrp=-98|rsrq=-13|snr=2,2,4,2,2,2,2
rsrp=-98|rsrq=-13|snr=4,2,4,2,2,2,2
rsrp=-98|rsrq=-13|snr=5,2,4,2,2,2,2
rsrp=-98|rsrq=-13|snr=9,3,4,1.33333333333,1,1.8,2
rsrp=-98|rsrq=-14|snr=1,3,4,1.33333333333,1,1.8,2
rsrp=-98|rsrq=-14|snr=2,1,4,4,4,4,4
rsrp=-98|rsrq=-15|snr=1,2,4,2,2,2,2
rsrp=-98|rsrq=-15|snr=4,2,4,2,2,2,2
rsrp=-98|rsrq=-16|snr=1,2,4,2,2,2,2
rsrp=-98|rsrq=-16|snr=3,2,4,2,2,2,2
rsrp=-98|rsrq=-16|snr=4,2,4,2,2,2,2
rsrp=-98|rsrq=-16|snr=9,3,4,1.33333333333,1,1.8,2
rsrp=-98|rsrq=-18|snr=1,2,4,2,2,2,2
rsrp=-99|rsrq=-10|snr=0,2,4,2,2,2,2
rsrp=-99|rsrq=-10|snr=1,2,4,2,2,2,2
rsrp=-99|rsrq=-10|snr=11,2,4,2,2,2,2
rsrp=-99|rsrq=-10|snr=6,2,4,2,2,2,2
rsrp=-99|rsrq=-11|snr=-1,2,4,2,2,2,2
rsrp=-99|rsrq=-11|snr=0,3,4,1.33333333333,1,1.8,2
rsrp=-99|rsrq=-11|snr=10,2,4,2,2,2,2
rsrp=-99|rsrq=-11|snr=6,2,4,2,2,2,2
rsrp=-99|rsrq=-11|snr=8,2,4,2,2,2,2
rsrp=-99|rsrq=-12|snr=-1,2,4,2,2,2,2
rsrp=-99|rsrq=-12|snr=5,2,4,2,2,2,2
rsrp=-99|rsrq=-13|snr=3,2,4,2,2,2,2
rsrp=-99|rsrq=-13|snr=4,2,4,2,2,2,2
rsrp=-99|rsrq=-13|snr=5,2,4,2,2,2,2
rsrp=-99|rsrq=-13|snr=8,2,4,2,2,2,2
rsrp=-99|rsrq=-14|snr=-2,2,4,2,2,2,2
rsrp=-99|rsrq=-14|snr=2,2,4,2,2,2,2
rsrp=-99|rsrq=-15|snr=-1,2,4,2,2,2,2
rsrp=-99|rsrq=-15|snr=1,2,4,2,2,2,2
rsrp=-99|rsrq=-16|snr=3,2,4,2,2,2,2
rsrp=-99|rsrq=-17|snr=2,3,4,1.33333333333,1,1.8,2
rsrp=-100|rsrq=-13|snr=1,2,3,1.5,1.5,1.9,2
rsrp=-103|rsrq=-16|snr=-5,1,3,3,3,3,3
rsrp=-103|rsrq=-16|snr=1,2,3,1.5,1.5,1.9,2
rsrp=-103|rsrq=-18|snr=2,1,3,3,3,3,3
rsrp=-104|rsrq=-12|snr=-3,1,3,3,3,3,3
rsrp=-104|rsrq=-18|snr=2,2,3,1.5,1.5,1.9,2
rsrp=-105|rsrq=-18|snr=0,1,3,3,3,3,3
rsrp=-94|rsrq=-16|snr=3,2,3,1.5,1.5,1.9,2
rsrp=-94|rsrq=-17|snr=4,1,3,3,3,3,3
rsrp=-95|rsrq=-13|snr=1,2,3,1.5,1.5,1.9,2
rsrp=-97|rsrq=-12|snr=11,2,3,1.5,1.5,1.9,2
rsrp=-97|rsrq=-13|snr=-2,1,3,3,3,3,3
rsrp=-97|rsrq=-16|snr=6,1,3,3,3,3,3
rsrp=-98|rsrq=-11|snr=5,2,3,1.5,1.5,1.9,2
rsrp=-99|rsrq=-16|snr=8,1,3,3,3,3,3
rsrp=-100|rsrq=-10|snr=-4,1,2,2,2,2,2
rsrp=-100|rsrq=-10|snr=-5,1,2,2,2,2,2
rsrp=-100|rsrq=-10|snr=-6,1,2,2,2,2,2
rsrp=-100|rsrq=-10|snr=-7,1,2,2,2,2,2
rsrp=-100|rsrq=-10|snr=10,1,2,2,2,2,2
rsrp=-100|rsrq=-10|snr=11,1,2,2,2,2,2
rsrp=-100|rsrq=-10|snr=9,1,2,2,2,2,2
rsrp=-100|rsrq=-11|snr=-3,1,2,2,2,2,2
rsrp=-100|rsrq=-11|snr=-4,1,2,2,2,2,2
rsrp=-100|rsrq=-11|snr=-9,1,2,2,2,2,2
rsrp=-100|rsrq=-11|snr=0,1,2,2,2,2,2
rsrp=-100|rsrq=-11|snr=11,1,2,2,2,2,2
rsrp=-100|rsrq=-11|snr=8,1,2,2,2,2,2
rsrp=-100|rsrq=-12|snr=-1,1,2,2,2,2,2
rsrp=-100|rsrq=-12|snr=-4,1,2,2,2,2,2
rsrp=-100|rsrq=-12|snr=-5,1,2,2,2,2,2
rsrp=-100|rsrq=-12|snr=1,1,2,2,2,2,2
rsrp=-100|rsrq=-12|snr=3,1,2,2,2,2,2
rsrp=-100|rsrq=-12|snr=8,1,2,2,2,2,2
rsrp=-100|rsrq=-13|snr=-2,1,2,2,2,2,2
rsrp=-100|rsrq=-13|snr=-4,2,2,1,1,1,1
rsrp=-100|rsrq=-13|snr=-7,1,2,2,2,2,2
rsrp=-100|rsrq=-13|snr=0,1,2,2,2,2,2
rsrp=-100|rsrq=-13|snr=10,2,2,1,1,1,1
rsrp=-100|rsrq=-13|snr=11,1,2,2,2,2,2
rsrp=-100|rsrq=-13|snr=5,1,2,2,2,2,2
rsrp=-100|rsrq=-13|snr=6,1,2,2,2,2,2
rsrp=-100|rsrq=-13|snr=7,1,2,2,2,2,2
rsrp=-100|rsrq=-14|snr=-2,2,2,1,1,1,1
rsrp=-100|rsrq=-14|snr=11,1,2,2,2,2,2
rsrp=-100|rsrq=-15|snr=-3,1,2,2,2,2,2
rsrp=-100|rsrq=-15|snr=0,1,2,2,2,2,2
rsrp=-100|rsrq=-15|snr=12,1,2,2,2,2,2
rsrp=-100|rsrq=-15|snr=5,2,2,1,1,1,1
rsrp=-100|rsrq=-15|snr=7,1,2,2,2,2,2
rsrp=-100|rsrq=-16|snr=1,1,2,2,2,2,2
rsrp=-100|rsrq=-16|snr=3,1,2,2,2,2,2
rsrp=-100|rsrq=-16|snr=6,1,2,2,2,2,2
rsrp=-100|rsrq=-17|snr=10,1,2,2,2,2,2
rsrp=-100|rsrq=-17|snr=7,1,2,2,2,2,2
rsrp=-100|rsrq=-18|snr=2,1,2,2,2,2,2
rsrp=-100|rsrq=-18|snr=9,1,2,2,2,2,2
rsrp=-100|rsrq=-19|snr=-1,1,2,2,2,2,2
rsrp=-100|rsrq=-19|snr=-3,1,2,2,2,2,2
rsrp=-100|rsrq=-9|snr=0,1,2,2,2,2,2
rsrp=-100|rsrq=-9|snr=12,1,2,2,2,2,2
rsrp=-100|rsrq=-9|snr=5,1,2,2,2,2,2
rsrp=-101|rsrq=-10|snr=-1,1,2,2,2,2,2
rsrp=-101|rsrq=-10|snr=1,1,2,2,2,2,2
rsrp=-101|rsrq=-10|snr=2,1,2,2,2,2,2
rsrp=-101|rsrq=-10|snr=5,1,2,2,2,2,2
rsrp=-101|rsrq=-10|snr=7,1,2,2,2,2,2
rsrp=-101|rsrq=-11|snr=-3,1,2,2,2,2,2
rsrp=-101|rsrq=-11|snr=-4,1,2,2,2,2,2
rsrp=-101|rsrq=-11|snr=10,1,2,2,2,2,2
rsrp=-101|rsrq=-11|snr=11,1,2,2,2,2,2
rsrp=-101|rsrq=-11|snr=4,1,2,2,2,2,2
rsrp=-101|rsrq=-11|snr=7,1,2,2,2,2,2
